Judet,VT,Votes_CG,CG as % of the total vote
Alba,156780,33534,21.389207807118254
Arad,175479,39940,22.760558243436538
Arges,273599,66494,24.30345140150366
Bacau,244749,55255,22.57619030108397
Bihor,248285,40789,16.42829812513845
Bistrita-Nasaud,113939,28413,24.937027707808564
Botosani,148594,37249,25.067633955610592
Braila,126302,32360,25.62113030672515
Brasov,272545,55057,20.201067713588582
Bucuresti,929642,132653,14.269256337385789
Buzau,184506,40176,21.77490162921531
Calarasi,111042,28189,25.385890023594676
Caras-Severin,103459,22300,21.55443219052958
Cluj,353549,53461,15.121242034343188
Constanta,304990,78723,25.81166595626086
Covasna,78059,5530,7.084384888353681
Dambovita,210875,53482,25.361944279786602
Dolj,274275,48124,17.545893719806763
Galati,221487,47675,21.52496534785337
Giurgiu,118024,26461,22.42001626787772
Gorj,143717,32981,22.948572541870483
Harghita,119606,4114,3.439626774576526
Hunedoara,170330,37117,21.79122879117008
Ialomita,95648,25171,26.316284710605554
Iasi,351195,75455,21.48521476672504
Ilfov,268467,61895,23.05497509936044
Maramures,167658,37158,22.162974626919084
Mehedinti,115509,17454,15.110510869282914
Mures,217630,31201,14.33671828332491
Neamt,192003,45065,23.470987432488034
Olt,187141,39832,21.284486029250672
Prahova,324078,82268,25.385246761582085
Salaj,94774,15311,16.155274653385952
Satu Mare,120305,15606,12.972029425210923
Sibiu,185609,47770,25.73689853401505
Suceava,261965,72752,27.771648884392953
Teleorman,142219,25839,18.168458504137984
Timis,315562,66016,20.920136138064784
Tulcea,81224,21185,26.08219245543189
Valcea,155234,34484,22.214205650823917
Vaslui,144681,32352,22.360918157878366
Vrancea,138819,27407,19.742974664851353
